seller_id,seller_city,seller_state,category_en,n_reviews,neg_rate,return_kw_rate,cat_avg_return_kw
0015a82c2db000af6aaaf3ae2ecb0532,santo andre,SP,small_appliances,3,33.33,0.0,1.5
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,construction_tools_construction,23,4.35,0.0,1.8
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,garden_tools,168,14.88,3.57,1.15
002100f778ceb8431b7a1020ff7ab48f,franca,SP,furniture_decor,49,14.29,2.04,1.33
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,bed_bath_table,142,13.38,1.41,1.51
00720abe85ba0859807595bbf045a33b,guarulhos,SP,housewares,13,23.08,0.0,1.64
00ab3eff1b5192e5f1a63bcecfee11c8,sao paulo,SP,health_beauty,1,0.0,0.0,1.2
00d8b143d12632bad99c0ad66ad52825,belo horizonte,MG,fashion_bags_accessories,1,0.0,0.0,1.11
00ee68308b45bc5e2660cd833c3f81cc,sao paulo,SP,bed_bath_table,110,10.91,0.0,1.51
00ee68308b45bc5e2660cd833c3f81cc,sao paulo,SP,furniture_mattress_and_upholstery,22,13.64,0.0,2.7
00fc707aaaad2d31347cf883cd2dfe10,maringa,PR,computers_accessories,101,14.85,2.97,1.89
010543a62bd80aa422851e79a3bc7540,sao paulo,SP,computers_accessories,2,0.0,0.0,1.89
010da0602d7774602cd1b3f5fb7b709e,sao bernardo do campo,SP,kitchen_dining_laundry_garden_furniture,1,100.0,0.0,1.69
011b0eaba87386a2ae96a7d32bb531d1,pompeia,SP,health_beauty,1,0.0,0.0,1.2
01266d4c46afa519678d16a8b683d325,curitiba,PR,costruction_tools_tools,3,0.0,0.0,5.32
013900e863eace745d3ec7614cab5b1a,curitiba,PR,baby,8,12.5,0.0,1.71
013900e863eace745d3ec7614cab5b1a,curitiba,PR,fashion_shoes,14,0.0,0.0,0.87
013900e863eace745d3ec7614cab5b1a,curitiba,PR,stationery,1,0.0,0.0,1.34
014c0679dd340a0e338872e7ec85666a,timoteo,MG,garden_tools,1,0.0,0.0,1.15
014c0679dd340a0e338872e7ec85666a,timoteo,MG,kitchen_dining_laundry_garden_furniture,10,10.0,0.0,1.69
014c0679dd340a0e338872e7ec85666a,timoteo,MG,signaling_and_security,3,33.33,33.33,2.92
014d9a685fd57276679edd00e07089e5,maringa,PR,cool_stuff,2,50.0,0.0,1.28
014d9a685fd57276679edd00e07089e5,maringa,PR,stationery,8,0.0,0.0,1.34
0176f73cc1195f367f7b32db1e5b3aa8,ibitinga,SP,bed_bath_table,36,16.67,0.0,1.51
01bcc9d254a0143f0ce9791b960b2a47,uruacu,GO,health_beauty,10,0.0,0.0,1.2
01c97ebb5cdac52891c0ed1c37ba0012,catanduva,SP,computers_accessories,9,11.11,0.0,1.89
01cf7e3d21494c41fb86034f2e714fa1,francisco beltrao,PR,air_conditioning,18,11.11,0.0,1.66
01cf7e3d21494c41fb86034f2e714fa1,francisco beltrao,PR,baby,3,0.0,0.0,1.71
01cf7e3d21494c41fb86034f2e714fa1,francisco beltrao,PR,bed_bath_table,1,100.0,0.0,1.51
01cf7e3d21494c41fb86034f2e714fa1,francisco beltrao,PR,cool_stuff,6,0.0,0.0,1.28
01cf7e3d21494c41fb86034f2e714fa1,francisco beltrao,PR,home_appliances,1,0.0,0.0,1.08
01cf7e3d21494c41fb86034f2e714fa1,francisco beltrao,PR,home_appliances_2,11,18.18,0.0,4.0
01cf7e3d21494c41fb86034f2e714fa1,francisco beltrao,PR,housewares,14,7.14,0.0,1.64
01cf7e3d21494c41fb86034f2e714fa1,francisco beltrao,PR,small_appliances,2,0.0,0.0,1.5
01ed254b9ff8407dfb9d99ba1e17d923,mogi das cruzes,SP,watches_gifts,5,0.0,0.0,2.06
01fd077212124329bac32490e8ef80d9,ribeirao preto / sao paulo,SP,baby,2,0.0,0.0,1.71
01fd077212124329bac32490e8ef80d9,ribeirao preto / sao paulo,SP,construction_tools_construction,1,0.0,0.0,1.8
01fd077212124329bac32490e8ef80d9,ribeirao preto / sao paulo,SP,garden_tools,5,40.0,0.0,1.15
01fd077212124329bac32490e8ef80d9,ribeirao preto / sao paulo,SP,health_beauty,13,15.38,7.69,1.2
01fd077212124329bac32490e8ef80d9,ribeirao preto / sao paulo,SP,home_construction,1,100.0,0.0,1.08
01fd077212124329bac32490e8ef80d9,ribeirao preto / sao paulo,SP,sports_leisure,2,0.0,0.0,1.2
01fd077212124329bac32490e8ef80d9,ribeirao preto / sao paulo,SP,toys,7,0.0,14.29,1.49
01fdefa7697d26ad920e9e0346d4bd1b,londrina,PR,health_beauty,127,5.51,2.36,1.2
0241d4d5d36f10f80c644447315af0bd,curitiba,PR,furniture_decor,229,9.17,0.87,1.33
0249d282d911d23cb8b869ab49c99f53,sao paulo,SP,sports_leisure,11,18.18,0.0,1.2
024b564ae893ce8e9bfa02c10a401ece,sao paulo,SP,market_place,1,0.0,0.0,1.5
024b564ae893ce8e9bfa02c10a401ece,sao paulo,SP,musical_instruments,1,0.0,0.0,1.83
02b72cdeb9cfcc429f1af6f4e3f3b737,ibitinga,SP,baby,4,0.0,0.0,1.71
02c988090b766852e088c69d7fb3b551,americana,SP,fashion_shoes,4,0.0,0.0,0.87
02c988090b766852e088c69d7fb3b551,americana,SP,signaling_and_security,8,12.5,0.0,2.92
02d35243ea2e497335cd0f076b45675d,natal,RN,furniture_decor,14,42.86,0.0,1.33
02dcd3e8e25bee036e32512bcf175493,contagem,MG,stationery,13,23.08,0.0,1.34
02ecc2a19303f05e59ce133fd923fff7,santo andre,SP,furniture_decor,5,0.0,0.0,1.33
02ecc2a19303f05e59ce133fd923fff7,santo andre,SP,garden_tools,8,12.5,0.0,1.15
02ecc2a19303f05e59ce133fd923fff7,santo andre,SP,home_construction,8,0.0,0.0,1.08
02f5837340d7eb4f653d676c7256523a,curitiba,PR,luggage_accessories,30,3.33,0.0,0.9
02f623a8eb246f3c5f7c2f96462654e6,botucatu,SP,health_beauty,3,0.0,0.0,1.2
02f623a8eb246f3c5f7c2f96462654e6,botucatu,SP,sports_leisure,40,5.0,0.0,1.2
0307f7565ff85b299b6e5ef162b1b1a9,sao jose do rio preto,SP,cool_stuff,4,25.0,25.0,1.28
0307f7565ff85b299b6e5ef162b1b1a9,sao jose do rio preto,SP,perfumery,1,100.0,0.0,0.72
0307f7565ff85b299b6e5ef162b1b1a9,sao jose do rio preto,SP,small_appliances,1,0.0,0.0,1.5
034b9387752bfa309f350a70cd45ffa3,blumenau,SC,toys,8,0.0,0.0,1.49
038b75b729c8a9a04b0d07cba7eabe86,sao jose dos campos,SP,housewares,2,0.0,0.0,1.64
039b29ff3b3473435d0cd59040575de9,ribeirao pires,SP,dvds_blu_ray,4,0.0,0.0,0.0
039b29ff3b3473435d0cd59040575de9,ribeirao pires,SP,music,5,0.0,0.0,2.7
039e6ad9dae79614493083e241147386,sao paulo,SP,garden_tools,5,20.0,0.0,1.15
03a2a6dcbe45d639c4dc2a0d24769c40,maua,SP,garden_tools,9,11.11,0.0,1.15
03bd479e1d9484cdb14104d3023f7321,uberlandia,MG,auto,3,0.0,0.0,1.48
0417b067eeab773d2f7061a726dc477f,sao bento do sul,SC,auto,13,23.08,7.69,1.48
042573af89b6d931f672efaf789d8358,sorocaba,SP,small_appliances,2,50.0,0.0,1.5
042573af89b6d931f672efaf789d8358,sorocaba,SP,sports_leisure,1,0.0,0.0,1.2
04308b1ee57b6625f47df1d56f00eedf,bombinhas,SC,health_beauty,92,19.57,3.26,1.2
0432ead42b6c8a0bdf68154add917fdf,maua,SP,consoles_games,3,0.0,0.0,1.09
0432ead42b6c8a0bdf68154add917fdf,maua,SP,housewares,1,100.0,100.0,1.64
0432ead42b6c8a0bdf68154add917fdf,maua,SP,toys,76,5.26,0.0,1.49
044668ccd5316b12a7cf0d54a156e3e9,osasco,SP,food,3,0.0,0.0,0.7
04843805947f0fc584fc1969b6e50fe7,ivoti,RS,bed_bath_table,1,0.0,0.0,1.51
048c2757535328e0d7dac690ad3c0aae,franca,SP,fashion_shoes,49,14.29,0.0,0.87
04aa0a1c5ce6b222003403a3e11c3cc0,cosmopolis,SP,auto,10,20.0,0.0,1.48
04aa0a1c5ce6b222003403a3e11c3cc0,cosmopolis,SP,sports_leisure,1,0.0,0.0,1.2
04aba03279157f6d4e0fe8ccaf21963c,santo antonio de padua,RJ,health_beauty,15,6.67,0.0,1.2
04e38a233f726ef161074ab1c9b0399a,sao paulo,SP,baby,5,0.0,0.0,1.71
04e38a233f726ef161074ab1c9b0399a,sao paulo,SP,housewares,6,16.67,16.67,1.64
04e38a233f726ef161074ab1c9b0399a,sao paulo,SP,sports_leisure,8,12.5,0.0,1.2
04ee0ec01589969663ba5967c0e0bdc0,lajeado,RS,arts_and_craftmanship,1,0.0,0.0,9.09
04fdea0c111866e6cf812f1570d6b5bd,sao paulo,SP,computers_accessories,7,14.29,0.0,1.89
04fdea0c111866e6cf812f1570d6b5bd,sao paulo,SP,electronics,1,100.0,0.0,1.53
0509040ea3fe50071181bbc359eb7738,belo horizonte,MG,bed_bath_table,1,0.0,0.0,1.51
0509040ea3fe50071181bbc359eb7738,belo horizonte,MG,housewares,7,0.0,14.29,1.64
0509040ea3fe50071181bbc359eb7738,belo horizonte,MG,sports_leisure,78,1.28,0.0,1.2
052577151711aec5c744fe12e66db3e1,rodeio,SC,small_appliances,1,0.0,0.0,1.5
054694fa03fe82cec4b7551487331d74,itajobi,SP,cool_stuff,6,33.33,0.0,1.28
054694fa03fe82cec4b7551487331d74,itajobi,SP,home_appliances_2,5,20.0,0.0,4.0
054694fa03fe82cec4b7551487331d74,itajobi,SP,housewares,1,100.0,0.0,1.64
054694fa03fe82cec4b7551487331d74,itajobi,SP,small_appliances,8,25.0,0.0,1.5
056b4ada5bbc2c50cc7842547dda6b51,queimados,RJ,electronics,5,0.0,0.0,1.53
056b4ada5bbc2c50cc7842547dda6b51,queimados,RJ,watches_gifts,58,13.79,0.0,2.06
0570350b23eda5444f8d1d9544932058,sao paulo,SP,health_beauty,4,0.0,0.0,1.2
0570350b23eda5444f8d1d9544932058,sao paulo,SP,perfumery,2,0.0,0.0,0.72
05730013efda596306417c3b09302475,criciuma,SC,arts_and_craftmanship,1,0.0,0.0,9.09
05730013efda596306417c3b09302475,criciuma,SC,furniture_decor,3,0.0,0.0,1.33
058cb5aeb36d7c0fcae20fc85d5e0a59,rio de janeiro,RJ,luggage_accessories,11,18.18,0.0,0.9
058fd0aa2bfdb2274e05e1ae971dabb6,santo andre,SP,health_beauty,1,100.0,0.0,1.2
058fd0aa2bfdb2274e05e1ae971dabb6,santo andre,SP,perfumery,58,6.9,0.0,0.72
05a48cc8859962767935ab9087417fbb,sao paulo,SP,garden_tools,1,0.0,0.0,1.15
05a940b4ecae36cadfd8e93bd9c43257,goiania,GO,audio,1,100.0,0.0,3.23
05a940b4ecae36cadfd8e93bd9c43257,goiania,GO,computers_accessories,4,0.0,0.0,1.89
05a940b4ecae36cadfd8e93bd9c43257,goiania,GO,cool_stuff,4,0.0,0.0,1.28
05aebce0b5c8f0d41b29b686f2d05fd3,sao paulo,SP,garden_tools,1,0.0,0.0,1.15
05aebce0b5c8f0d41b29b686f2d05fd3,sao paulo,SP,home_comfort_2,1,0.0,0.0,0.0
05ca864204d09595ae591b93ea9cf93d,barueri,SP,consoles_games,1,0.0,0.0,1.09
05d2173d43ea568aa0540eba70d2ca76,alfenas,MG,auto,45,11.11,0.0,1.48
05d2173d43ea568aa0540eba70d2ca76,alfenas,MG,construction_tools_construction,12,16.67,0.0,1.8
05d2173d43ea568aa0540eba70d2ca76,alfenas,MG,housewares,3,0.0,0.0,1.64
05e107217c7266362fd44b75b2cd4cc4,sao paulo - sp,SP,stationery,5,0.0,0.0,1.34
05f51e13da97139648b8125c31e5f51b,belo horizonte,MG,baby,55,14.55,1.82,1.71
05f51e13da97139648b8125c31e5f51b,belo horizonte,MG,cool_stuff,2,0.0,0.0,1.28
05feb94f19d094d4b0f9281f0b1d4c99,mogi das cruzes,SP,garden_tools,4,0.0,0.0,1.15
05feb94f19d094d4b0f9281f0b1d4c99,mogi das cruzes,SP,housewares,2,0.0,0.0,1.64
05ff92fedb5be47920fea08e501238b9,santo angelo,RS,cool_stuff,28,7.14,3.57,1.28
05ff92fedb5be47920fea08e501238b9,santo angelo,RS,health_beauty,11,0.0,0.0,1.2
05ff92fedb5be47920fea08e501238b9,santo angelo,RS,small_appliances,17,5.88,0.0,1.5
062c325cd6a2b87845fab56b4ec2eeae,sao paulo,SP,baby,1,0.0,0.0,1.71
062c325cd6a2b87845fab56b4ec2eeae,sao paulo,SP,stationery,1,0.0,0.0,1.34
062ce95fa2ad4dfaedfc79260130565f,lajeado,RS,bed_bath_table,16,6.25,0.0,1.51
062ce95fa2ad4dfaedfc79260130565f,lajeado,RS,furniture_decor,20,10.0,5.0,1.33
062ce95fa2ad4dfaedfc79260130565f,lajeado,RS,health_beauty,4,0.0,0.0,1.2
062ce95fa2ad4dfaedfc79260130565f,lajeado,RS,market_place,13,15.38,15.38,1.5
062ce95fa2ad4dfaedfc79260130565f,lajeado,RS,sports_leisure,1,0.0,0.0,1.2
06532f10282704ef4c69168b914b77be,paincandu,PR,garden_tools,6,0.0,0.0,1.15
06532f10282704ef4c69168b914b77be,paincandu,PR,home_construction,1,0.0,0.0,1.08
06579cb253ecd5a3a12a9e6eb6bf8f47,sao paulo - sp,SP,agro_industry_and_commerce,2,0.0,0.0,3.39
06579cb253ecd5a3a12a9e6eb6bf8f47,sao paulo - sp,SP,furniture_decor,1,0.0,0.0,1.33
06579cb253ecd5a3a12a9e6eb6bf8f47,sao paulo - sp,SP,housewares,57,14.04,0.0,1.64
066a6914e1ebf3ea95a216c73a986b91,foz do iguacu,PR,auto,8,12.5,0.0,1.48
066a6914e1ebf3ea95a216c73a986b91,foz do iguacu,PR,baby,3,0.0,0.0,1.71
066a6914e1ebf3ea95a216c73a986b91,foz do iguacu,PR,furniture_decor,11,18.18,0.0,1.33
066a6914e1ebf3ea95a216c73a986b91,foz do iguacu,PR,garden_tools,1,0.0,0.0,1.15
066a6914e1ebf3ea95a216c73a986b91,foz do iguacu,PR,housewares,1,0.0,0.0,1.64
